timestamp_utc;date;hour;dmi
2017-09-01T00:00:00.000Z;2017-09-01;00;-10.7910
2017-09-01T01:00:00.000Z;2017-09-01;01;-10.1418
2017-09-01T02:00:00.000Z;2017-09-01;02;-10.1415
2017-09-01T03:00:00.000Z;2017-09-01;03;-10.1415
2017-09-01T04:00:00.000Z;2017-09-01;04;-10.0924
2017-09-01T05:00:00.000Z;2017-09-01;05;-10.0459
2017-09-01T06:00:00.000Z;2017-09-01;06;-10.0459
2017-09-01T07:00:00.000Z;2017-09-01;07;-10.0459
2017-09-01T08:00:00.000Z;2017-09-01;08;-10.0459
2017-09-01T09:00:00.000Z;2017-09-01;09;-10.0459
2017-09-01T10:00:00.000Z;2017-09-01;10;-9.7156
2017-09-01T11:00:00.000Z;2017-09-01;11;-9.1223
2017-09-01T12:00:00.000Z;2017-09-01;12;-9.1223
2017-09-01T13:00:00.000Z;2017-09-01;13;-7.9285
2017-09-01T14:00:00.000Z;2017-09-01;14;-7.9285
2017-09-01T15:00:00.000Z;2017-09-01;15;-7.9285
2017-09-01T16:00:00.000Z;2017-09-01;16;-7.9285
2017-09-01T17:00:00.000Z;2017-09-01;17;-7.9285
2017-09-01T18:00:00.000Z;2017-09-01;18;-7.9285
2017-09-01T19:00:00.000Z;2017-09-01;19;-7.9285
2017-09-01T20:00:00.000Z;2017-09-01;20;-7.9285
2017-09-01T21:00:00.000Z;2017-09-01;21;-7.3754
2017-09-01T22:00:00.000Z;2017-09-01;22;-7.3754
2017-09-01T23:00:00.000Z;2017-09-01;23;-6.6444
2017-09-02T00:00:00.000Z;2017-09-02;00;-6.4610
2017-09-02T01:00:00.000Z;2017-09-02;01;-5.1169
2017-09-02T02:00:00.000Z;2017-09-02;02;-4.9243
2017-09-02T03:00:00.000Z;2017-09-02;03;-4.8985
2017-09-02T04:00:00.000Z;2017-09-02;04;-4.8985
2017-09-02T05:00:00.000Z;2017-09-02;05;-10.3834
2017-09-02T06:00:00.000Z;2017-09-02;06;-10.3834
2017-09-02T07:00:00.000Z;2017-09-02;07;-10.3834
2017-09-02T08:00:00.000Z;2017-09-02;08;-10.3834
2017-09-02T09:00:00.000Z;2017-09-02;09;-10.3834
2017-09-02T10:00:00.000Z;2017-09-02;10;-10.3834
2017-09-02T11:00:00.000Z;2017-09-02;11;-10.3834
2017-09-02T12:00:00.000Z;2017-09-02;12;-10.3834
2017-09-02T13:00:00.000Z;2017-09-02;13;-10.3834
2017-09-02T14:00:00.000Z;2017-09-02;14;-11.5936
2017-09-02T15:00:00.000Z;2017-09-02;15;-12.9500
2017-09-02T16:00:00.000Z;2017-09-02;16;-12.9500
2017-09-02T17:00:00.000Z;2017-09-02;17;-12.9500
2017-09-02T18:00:00.000Z;2017-09-02;18;-12.9500
2017-09-02T19:00:00.000Z;2017-09-02;19;-12.9500
