timestamp_utc;date;hour;dmi
2020-08-26T00:00:00.000Z;2020-08-26;00;7.9079
2020-08-26T01:00:00.000Z;2020-08-26;01;7.8860
2020-08-26T02:00:00.000Z;2020-08-26;02;7.8580
2020-08-26T03:00:00.000Z;2020-08-26;03;8.4064
2020-08-26T04:00:00.000Z;2020-08-26;04;9.7725
2020-08-26T05:00:00.000Z;2020-08-26;05;10.1504
2020-08-26T06:00:00.000Z;2020-08-26;06;10.4865
2020-08-26T07:00:00.000Z;2020-08-26;07;10.4865
2020-08-26T08:00:00.000Z;2020-08-26;08;10.4865
2020-08-26T09:00:00.000Z;2020-08-26;09;10.4865
2020-08-26T10:00:00.000Z;2020-08-26;10;10.4865
2020-08-26T11:00:00.000Z;2020-08-26;11;10.9459
2020-08-26T12:00:00.000Z;2020-08-26;12;11.8557
2020-08-26T13:00:00.000Z;2020-08-26;13;11.8557
2020-08-26T14:00:00.000Z;2020-08-26;14;11.8557
2020-08-26T15:00:00.000Z;2020-08-26;15;11.8557
2020-08-26T16:00:00.000Z;2020-08-26;16;11.9389
2020-08-26T17:00:00.000Z;2020-08-26;17;13.1790
2020-08-26T18:00:00.000Z;2020-08-26;18;13.1790
2020-08-26T19:00:00.000Z;2020-08-26;19;13.1790
2020-08-26T20:00:00.000Z;2020-08-26;20;13.1790
2020-08-26T21:00:00.000Z;2020-08-26;21;13.1790
2020-08-26T22:00:00.000Z;2020-08-26;22;13.1790
2020-08-26T23:00:00.000Z;2020-08-26;23;13.1790
2020-08-27T00:00:00.000Z;2020-08-27;00;13.0119
2020-08-27T01:00:00.000Z;2020-08-27;01;13.0119
2020-08-27T02:00:00.000Z;2020-08-27;02;12.8652
2020-08-27T03:00:00.000Z;2020-08-27;03;12.8652
2020-08-27T04:00:00.000Z;2020-08-27;04;12.8652
2020-08-27T05:00:00.000Z;2020-08-27;05;12.7712
2020-08-27T06:00:00.000Z;2020-08-27;06;12.7100
2020-08-27T07:00:00.000Z;2020-08-27;07;12.4396
2020-08-27T08:00:00.000Z;2020-08-27;08;13.1244
2020-08-27T09:00:00.000Z;2020-08-27;09;13.1244
2020-08-27T10:00:00.000Z;2020-08-27;10;13.1244
2020-08-27T11:00:00.000Z;2020-08-27;11;12.9657
2020-08-27T12:00:00.000Z;2020-08-27;12;12.9657
2020-08-27T13:00:00.000Z;2020-08-27;13;12.9657
2020-08-27T14:00:00.000Z;2020-08-27;14;12.9657
2020-08-27T15:00:00.000Z;2020-08-27;15;12.9657
2020-08-27T16:00:00.000Z;2020-08-27;16;12.9657
2020-08-27T17:00:00.000Z;2020-08-27;17;12.8678
2020-08-27T18:00:00.000Z;2020-08-27;18;12.8678
2020-08-27T19:00:00.000Z;2020-08-27;19;12.8678
2020-08-27T20:00:00.000Z;2020-08-27;20;12.8678
2020-08-27T21:00:00.000Z;2020-08-27;21;12.8678
2020-08-27T22:00:00.000Z;2020-08-27;22;12.8678
2020-08-27T23:00:00.000Z;2020-08-27;23;12.8678
2020-08-28T00:00:00.000Z;2020-08-28;00;12.6186
2020-08-28T01:00:00.000Z;2020-08-28;01;12.5966
2020-08-28T02:00:00.000Z;2020-08-28;02;12.3892
2020-08-28T03:00:00.000Z;2020-08-28;03;12.2521
2020-08-28T04:00:00.000Z;2020-08-28;04;12.2521
2020-08-28T05:00:00.000Z;2020-08-28;05;12.2521
2020-08-28T06:00:00.000Z;2020-08-28;06;12.2354
2020-08-28T07:00:00.000Z;2020-08-28;07;12.2354
2020-08-28T08:00:00.000Z;2020-08-28;08;12.2354
2020-08-28T09:00:00.000Z;2020-08-28;09;12.1858
2020-08-28T10:00:00.000Z;2020-08-28;10;12.1858
2020-08-28T11:00:00.000Z;2020-08-28;11;13.2453
2020-08-28T12:00:00.000Z;2020-08-28;12;13.4460
2020-08-28T13:00:00.000Z;2020-08-28;13;13.4460
2020-08-28T14:00:00.000Z;2020-08-28;14;13.4460
2020-08-28T15:00:00.000Z;2020-08-28;15;13.4460
2020-08-28T16:00:00.000Z;2020-08-28;16;14.0504
2020-08-28T17:00:00.000Z;2020-08-28;17;14.4027
2020-08-28T18:00:00.000Z;2020-08-28;18;14.8362
2020-08-28T19:00:00.000Z;2020-08-28;19;17.1319
2020-08-28T20:00:00.000Z;2020-08-28;20;17.2283
2020-08-28T21:00:00.000Z;2020-08-28;21;17.2283
2020-08-28T22:00:00.000Z;2020-08-28;22;17.2283
2020-08-28T23:00:00.000Z;2020-08-28;23;17.2283
2020-08-29T00:00:00.000Z;2020-08-29;00;16.8762
2020-08-29T01:00:00.000Z;2020-08-29;01;16.8517
2020-08-29T02:00:00.000Z;2020-08-29;02;16.6839
2020-08-29T03:00:00.000Z;2020-08-29;03;16.6839
2020-08-29T04:00:00.000Z;2020-08-29;04;16.6393
2020-08-29T05:00:00.000Z;2020-08-29;05;16.6393
2020-08-29T06:00:00.000Z;2020-08-29;06;16.5876
2020-08-29T07:00:00.000Z;2020-08-29;07;16.4991
2020-08-29T08:00:00.000Z;2020-08-29;08;16.4637
2020-08-29T09:00:00.000Z;2020-08-29;09;16.4637
2020-08-29T10:00:00.000Z;2020-08-29;10;16.4637
2020-08-29T11:00:00.000Z;2020-08-29;11;16.4637
2020-08-29T12:00:00.000Z;2020-08-29;12;16.4637
2020-08-29T13:00:00.000Z;2020-08-29;13;16.4637
2020-08-29T14:00:00.000Z;2020-08-29;14;16.4637
2020-08-29T15:00:00.000Z;2020-08-29;15;16.4637
2020-08-29T16:00:00.000Z;2020-08-29;16;16.4637
2020-08-29T17:00:00.000Z;2020-08-29;17;16.4637
2020-08-29T18:00:00.000Z;2020-08-29;18;16.4637
2020-08-29T19:00:00.000Z;2020-08-29;19;16.4637
2020-08-29T20:00:00.000Z;2020-08-29;20;16.4637
2020-08-29T21:00:00.000Z;2020-08-29;21;16.4637
2020-08-29T22:00:00.000Z;2020-08-29;22;16.4637
2020-08-29T23:00:00.000Z;2020-08-29;23;16.4637
2020-08-30T00:00:00.000Z;2020-08-30;00;16.2587
2020-08-30T01:00:00.000Z;2020-08-30;01;16.2185
2020-08-30T02:00:00.000Z;2020-08-30;02;16.2185
2020-08-30T03:00:00.000Z;2020-08-30;03;16.1745
2020-08-30T04:00:00.000Z;2020-08-30;04;16.1336
2020-08-30T05:00:00.000Z;2020-08-30;05;18.8025
2020-08-30T06:00:00.000Z;2020-08-30;06;18.8025
2020-08-30T07:00:00.000Z;2020-08-30;07;18.8025
2020-08-30T08:00:00.000Z;2020-08-30;08;20.6703
2020-08-30T09:00:00.000Z;2020-08-30;09;21.1068
2020-08-30T10:00:00.000Z;2020-08-30;10;21.1129
2020-08-30T11:00:00.000Z;2020-08-30;11;21.1129
2020-08-30T12:00:00.000Z;2020-08-30;12;22.3851
2020-08-30T13:00:00.000Z;2020-08-30;13;22.3851
2020-08-30T14:00:00.000Z;2020-08-30;14;22.3851
2020-08-30T15:00:00.000Z;2020-08-30;15;22.3851
2020-08-30T16:00:00.000Z;2020-08-30;16;22.3851
2020-08-30T17:00:00.000Z;2020-08-30;17;22.3851
2020-08-30T18:00:00.000Z;2020-08-30;18;22.3851
2020-08-30T19:00:00.000Z;2020-08-30;19;22.3851
2020-08-30T20:00:00.000Z;2020-08-30;20;22.3851
2020-08-30T21:00:00.000Z;2020-08-30;21;22.3851
2020-08-30T22:00:00.000Z;2020-08-30;22;22.3851
2020-08-30T23:00:00.000Z;2020-08-30;23;22.3851
2020-08-31T00:00:00.000Z;2020-08-31;00;22.1046
2020-08-31T01:00:00.000Z;2020-08-31;01;21.9578
2020-08-31T02:00:00.000Z;2020-08-31;02;21.9533
2020-08-31T03:00:00.000Z;2020-08-31;03;21.5809
2020-08-31T04:00:00.000Z;2020-08-31;04;21.4994
2020-08-31T05:00:00.000Z;2020-08-31;05;21.3915
2020-08-31T06:00:00.000Z;2020-08-31;06;21.3912
2020-08-31T07:00:00.000Z;2020-08-31;07;21.0838
2020-08-31T08:00:00.000Z;2020-08-31;08;21.0838
2020-08-31T09:00:00.000Z;2020-08-31;09;21.0838
2020-08-31T10:00:00.000Z;2020-08-31;10;21.0838
2020-08-31T11:00:00.000Z;2020-08-31;11;21.0838
2020-08-31T12:00:00.000Z;2020-08-31;12;21.0838
2020-08-31T13:00:00.000Z;2020-08-31;13;21.0838
2020-08-31T14:00:00.000Z;2020-08-31;14;21.0838
2020-08-31T15:00:00.000Z;2020-08-31;15;21.0838
2020-08-31T16:00:00.000Z;2020-08-31;16;21.0838
2020-08-31T17:00:00.000Z;2020-08-31;17;21.0838
2020-08-31T18:00:00.000Z;2020-08-31;18;21.0838
2020-08-31T19:00:00.000Z;2020-08-31;19;21.5299
2020-08-31T20:00:00.000Z;2020-08-31;20;22.2109
2020-08-31T21:00:00.000Z;2020-08-31;21;22.2109
2020-08-31T22:00:00.000Z;2020-08-31;22;22.2109
2020-08-31T23:00:00.000Z;2020-08-31;23;22.3695
2020-09-01T00:00:00.000Z;2020-09-01;00;21.5705
2020-09-01T01:00:00.000Z;2020-09-01;01;21.5307
2020-09-01T02:00:00.000Z;2020-09-01;02;21.5307
2020-09-01T03:00:00.000Z;2020-09-01;03;21.5252
2020-09-01T04:00:00.000Z;2020-09-01;04;21.8784
2020-09-01T05:00:00.000Z;2020-09-01;05;21.8784
2020-09-01T06:00:00.000Z;2020-09-01;06;21.8784
2020-09-01T07:00:00.000Z;2020-09-01;07;21.8784
2020-09-01T08:00:00.000Z;2020-09-01;08;21.8784
2020-09-01T09:00:00.000Z;2020-09-01;09;21.8784
2020-09-01T10:00:00.000Z;2020-09-01;10;21.8784
2020-09-01T11:00:00.000Z;2020-09-01;11;21.8784
2020-09-01T12:00:00.000Z;2020-09-01;12;21.8784
2020-09-01T13:00:00.000Z;2020-09-01;13;21.8784
2020-09-01T14:00:00.000Z;2020-09-01;14;21.7694
2020-09-01T15:00:00.000Z;2020-09-01;15;21.7173
2020-09-01T16:00:00.000Z;2020-09-01;16;21.6908
2020-09-01T17:00:00.000Z;2020-09-01;17;21.6908
2020-09-01T18:00:00.000Z;2020-09-01;18;21.6908
2020-09-01T19:00:00.000Z;2020-09-01;19;21.6908
2020-09-01T20:00:00.000Z;2020-09-01;20;21.6908
2020-09-01T21:00:00.000Z;2020-09-01;21;21.6908
2020-09-01T22:00:00.000Z;2020-09-01;22;21.6908
2020-09-01T23:00:00.000Z;2020-09-01;23;21.3424
2020-09-02T00:00:00.000Z;2020-09-02;00;19.6478
2020-09-02T01:00:00.000Z;2020-09-02;01;19.4931
2020-09-02T02:00:00.000Z;2020-09-02;02;19.4931
2020-09-02T03:00:00.000Z;2020-09-02;03;19.4805
